"Population by disability type","Number"
"Blind/low vision",""
"Female","77"
"Male","73"
"","150"
"Deaf/hard of hearing",""
"Female","46"
"Male","55"
"","101"
"Deaf-Blind",""
"Female","6"
"Male","7"
"","13"
"Intellectual disable",""
"Female","4"
"Male","11"
"","15"
"Mental disable",""
"Female","22"
"Male","32"
"","54"
"Multiple disable",""
"Female","15"
"Male","28"
"","43"
"No disability",""
"Female","21762"
"Male","20294"
"","42056"
"Physical",""
"Female","108"
"Male","154"
"","262"
"Speech problem",""
"Female","27"
"Male","33"
"","60"
