"Population by disability type","Number"
"Blind/low vision",""
"Female","8"
"Male","13"
"","21"
"Deaf/hard of hearing",""
"Female","10"
"Male","15"
"","25"
"Deaf-Blind",""
"Female","3"
"Male","3"
"","6"
"Intellectual disable",""
"Female","4"
"Male","6"
"","10"
"Mental disable",""
"Female","3"
"Male","6"
"","9"
"Multiple disable",""
"Female","5"
"Male","9"
"","14"
"No disability",""
"Female","5754"
"Male","5514"
"","11268"
"Physical",""
"Female","33"
"Male","42"
"","75"
"Speech problem",""
"Female","13"
"Male","11"
"","24"
