"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","167"
"Male","135"
"Brahman - Hill",""
"Female","5134"
"Male","4598"
"Brahman - Tarai",""
"Female","11"
"Male","12"
"Chhetri",""
"Female","29533"
"Male","24466"
"Dalit Others",""
"Female","155"
"Male","159"
"Damai/Dholi",""
"Female","2433"
"Male","2123"
"Dhobi",""
"Female","21"
"Male","17"
"Gharti/Bhujel",""
"Female","1738"
"Male","1562"
"Gurung",""
"Female","131"
"Male","121"
"Hajam/Thakur",""
"Female","14"
"Male","22"
"Halwai",""
"Female","5"
"Male","10"
"Hayu",""
"Female","411"
"Male","374"
"Hyolmo",""
"Female","591"
"Male","497"
"Jirel",""
"Female","8"
"Male","7"
"Kami",""
"Female","3470"
"Male","3044"
"Kathabaniyan",""
"Female","5"
"Male","14"
"Khawas",""
"Female","8"
"Male","3"
"Kumal",""
"Female","7"
"Male","5"
"Magar",""
"Female","12582"
"Male","9877"
"Majhi",""
"Female","3150"
"Male","2856"
"Musalman",""
"Female","6"
"Male","11"
"Newar",""
"Female","15776"
"Male","13512"
"Others",""
"Female","238"
"Male","261"
"Pahari",""
"Female","393"
"Male","329"
"Rai",""
"Female","52"
"Male","40"
"Rajput",""
"Female","5"
"Male","6"
"Sanyasi/Dasnami",""
"Female","903"
"Male","733"
"Sarki",""
"Female","3269"
"Male","2932"
"Sherpa",""
"Female","2131"
"Male","1830"
"Sonar",""
"Female","3"
"Male","9"
"Sudhi",""
"Female","6"
"Male","6"
"Sunuwar",""
"Female","4456"
"Male","3954"
"Tamang",""
"Female","21233"
"Male","17495"
"Teli",""
"Female","17"
"Male","35"
"Terai Others",""
"Female","48"
"Male","45"
"Thakuri",""
"Female","7"
"Male","7"
"Thami",""
"Female","1085"
"Male","969"
"Tharu",""
"Female","12"
"Male","61"
"Undefined Others",""
"Female","5"
"Male","14"
"Yadav",""
"Female","21"
"Male","32"
