"Population by Educational Attainment","Number"
"Beginners",""
"Female","505"
"Male","705"
"","1210"
"Graduate and Equivalent",""
"Female","111"
"Male","411"
"","522"
"Intermediate and Equivalent",""
"Female","588"
"Male","1039"
"","1627"
"Level not Stated",""
"Female","76"
"Male","116"
"","192"
"Lower Secondary (Class 6-8)",""
"Female","2198"
"Male","3703"
"","5901"
"Non Formal Education",""
"Female","152"
"Male","240"
"","392"
"Others",""
"Female","12"
"Male","12"
"","24"
"Post Graduate Equivalent and Above",""
"Female","13"
"Male","119"
"","132"
"Primary Education (1-5 Class)",""
"Female","5977"
"Male","8457"
"","14434"
"Secondary Level (Class 9-10)",""
"Female","1193"
"Male","2129"
"","3322"
"SLC and Equivalent",""
"Female","772"
"Male","1458"
"","2230"
