"Population by disability type","Number"
"Blind/low vision",""
"Female","102"
"Male","101"
"","203"
"Deaf/hard of hearing",""
"Female","29"
"Male","46"
"","75"
"Deaf-Blind",""
"Female","10"
"Male","11"
"","21"
"Intellectual disable",""
"Female","16"
"Male","21"
"","37"
"Mental disable",""
"Female","23"
"Male","38"
"","61"
"Multiple disable",""
"Female","32"
"Male","32"
"","64"
"No disability",""
"Female","34231"
"Male","34656"
"","68887"
"Physical",""
"Female","108"
"Male","213"
"","321"
"Speech problem",""
"Female","65"
"Male","88"
"","153"
