"Population by disability type","Number"
"Blind/low vision",""
"Female","52"
"Male","62"
"","114"
"Deaf/hard of hearing",""
"Female","51"
"Male","52"
"","103"
"Deaf-Blind",""
"Female","2"
"Male","8"
"","10"
"Intellectual disable",""
"Female","5"
"Male","14"
"","19"
"Mental disable",""
"Female","14"
"Male","15"
"","29"
"Multiple disable",""
"Female","41"
"Male","39"
"","80"
"No disability",""
"Female","12491"
"Male","11869"
"","24360"
"Physical",""
"Female","80"
"Male","140"
"","220"
"Speech problem",""
"Female","50"
"Male","52"
"","102"
