"Population by disability type","Number"
"Blind/low vision",""
"Female","51"
"Male","52"
"","103"
"Deaf/hard of hearing",""
"Female","41"
"Male","29"
"","70"
"Deaf-Blind",""
"Female","4"
"Male","10"
"","14"
"Intellectual disable",""
"Female","3"
"Male","7"
"","10"
"Mental disable",""
"Female","8"
"Male","9"
"","17"
"Multiple disable",""
"Female","8"
"Male","14"
"","22"
"No disability",""
"Female","8814"
"Male","7797"
"","16611"
"Physical",""
"Female","107"
"Male","128"
"","235"
"Speech problem",""
"Female","14"
"Male","19"
"","33"
