"Industries Employment","Number"
"Accommodation,  food",""
"Female","1475"
"Male","1403"
"Administrative, support service",""
"Female","8"
"Male","25"
"Agriculture, forestry and  fishing",""
"Female","943"
"Male","1715"
"Arts, entertainment, recreation",""
"Female","32"
"Male","83"
"Construction",""
"Female","16"
"Male","100"
"Education",""
"Female","2515"
"Male","2837"
"Electricity, gas and water",""
"Female","22"
"Male","216"
"Financial intermediation and insurance",""
"Female","664"
"Male","830"
"Health, social work",""
"Female","793"
"Male","392"
"Information and communication",""
"Female","44"
"Male","95"
"Manufacturing",""
"Female","1428"
"Male","3668"
"Other service activities",""
"Female","1057"
"Male","1594"
"Professional, scientific, techniqual activity",""
"Female","28"
"Male","105"
"Real estate, renting and business activity",""
"Female","0"
"Male","0"
"Transportation,  storage",""
"Female","27"
"Male","113"
"Water supply, wet management",""
"Female","39"
"Male","103"
"Wholesale, retail trade",""
"Female","2959"
"Male","4417"
