"Population by Single Year of Age","Number"
"0",""
"Female","189"
"Male","212"
"1",""
"Female","234"
"Male","196"
"10",""
"Female","502"
"Male","574"
"11",""
"Female","206"
"Male","219"
"12",""
"Female","409"
"Male","440"
"13",""
"Female","289"
"Male","251"
"14",""
"Female","318"
"Male","340"
"15",""
"Female","282"
"Male","311"
"16",""
"Female","322"
"Male","344"
"17",""
"Female","191"
"Male","196"
"18",""
"Female","320"
"Male","353"
"19",""
"Female","145"
"Male","142"
"2",""
"Female","311"
"Male","316"
"20",""
"Female","326"
"Male","343"
"21",""
"Female","125"
"Male","111"
"22",""
"Female","203"
"Male","256"
"23",""
"Female","227"
"Male","159"
"24",""
"Female","193"
"Male","145"
"25",""
"Female","296"
"Male","401"
"26",""
"Female","188"
"Male","141"
"27",""
"Female","134"
"Male","134"
"28",""
"Female","283"
"Male","258"
"29",""
"Female","78"
"Male","75"
"3",""
"Female","357"
"Male","360"
"30",""
"Female","363"
"Male","422"
"31",""
"Female","52"
"Male","61"
"32",""
"Female","205"
"Male","186"
"33",""
"Female","184"
"Male","75"
"34",""
"Female","122"
"Male","95"
"35",""
"Female","258"
"Male","433"
"36",""
"Female","125"
"Male","96"
"37",""
"Female","78"
"Male","74"
"38",""
"Female","300"
"Male","181"
"39",""
"Female","45"
"Male","50"
"4",""
"Female","338"
"Male","373"
"40",""
"Female","297"
"Male","428"
"41",""
"Female","51"
"Male","34"
"42",""
"Female","117"
"Male","127"
"43",""
"Female","138"
"Male","61"
"44",""
"Female","87"
"Male","52"
"45",""
"Female","247"
"Male","375"
"46",""
"Female","71"
"Male","62"
"47",""
"Female","59"
"Male","40"
"48",""
"Female","199"
"Male","135"
"49",""
"Female","37"
"Male","26"
"5",""
"Female","407"
"Male","472"
"50",""
"Female","217"
"Male","349"
"51",""
"Female","31"
"Male","39"
"52",""
"Female","70"
"Male","79"
"53",""
"Female","83"
"Male","38"
"54",""
"Female","55"
"Male","25"
"55",""
"Female","154"
"Male","260"
"56",""
"Female","45"
"Male","40"
"57",""
"Female","27"
"Male","29"
"58",""
"Female","114"
"Male","55"
"59",""
"Female","39"
"Male","29"
"6",""
"Female","356"
"Male","394"
"60",""
"Female","190"
"Male","261"
"61",""
"Female","26"
"Male","31"
"62",""
"Female","55"
"Male","50"
"63",""
"Female","38"
"Male","21"
"64",""
"Female","29"
"Male","13"
"65",""
"Female","165"
"Male","202"
"66",""
"Female","24"
"Male","18"
"67",""
"Female","12"
"Male","21"
"68",""
"Female","40"
"Male","57"
"69",""
"Female","7"
"Male","9"
"7",""
"Female","367"
"Male","347"
"70",""
"Female","112"
"Male","124"
"71",""
"Female","11"
"Male","9"
"72",""
"Female","24"
"Male","23"
"73",""
"Female","12"
"Male","9"
"74",""
"Female","8"
"Male","4"
"75",""
"Female","65"
"Male","66"
"76",""
"Female","3"
"Male","1"
"77",""
"Female","3"
"Male","8"
"78",""
"Female","5"
"Male","8"
"79",""
"Female","5"
"Male","1"
"8",""
"Female","428"
"Male","446"
"80",""
"Female","24"
"Male","15"
"81",""
"Female","3"
"Male","2"
"82",""
"Female","2"
"Male","1"
"83",""
"Female","1"
"Male","1"
"84",""
"Female","0"
"Male","2"
"85",""
"Female","16"
"Male","17"
"9",""
"Female","238"
"Male","245"
