"Population by Caste Ethinicity","Number"
"Badi",""
"Female","14"
"Male","11"
"","25"
"Brahman - Hill",""
"Female","1263"
"Male","1237"
"","2500"
"Chhetri",""
"Female","2932"
"Male","2772"
"","5704"
"Dalit Others",""
"Female","20"
"Male","11"
"","31"
"Damai/Dholi",""
"Female","193"
"Male","166"
"","359"
"Danuwar",""
"Female","10"
"Male","8"
"","18"
"Ghale",""
"Female","9"
"Male","3"
"","12"
"Gharti/Bhujel",""
"Female","6"
"Male","7"
"","13"
"Gurung",""
"Female","113"
"Male","108"
"","221"
"Hajam/Thakur",""
"Female","21"
"Male","21"
"","42"
"Kami",""
"Female","249"
"Male","225"
"","474"
"Koiri/Kushwaha",""
"Female","5"
"Male","7"
"","12"
"Kumhar",""
"Female","5"
"Male","8"
"","13"
"Limbu",""
"Female","16"
"Male","12"
"","28"
"Magar",""
"Female","506"
"Male","513"
"","1019"
"Majhi",""
"Female","5"
"Male","7"
"","12"
"Musalman",""
"Female","7"
"Male","13"
"","20"
"Newar",""
"Female","2877"
"Male","2813"
"","5690"
"Others",""
"Female","36"
"Male","42"
"","78"
"Pahari",""
"Female","214"
"Male","167"
"","381"
"Rai",""
"Female","68"
"Male","69"
"","137"
"Sanyasi/Dasnami",""
"Female","44"
"Male","49"
"","93"
"Sarki",""
"Female","176"
"Male","171"
"","347"
"Sherpa",""
"Female","43"
"Male","37"
"","80"
"Sunuwar",""
"Female","12"
"Male","11"
"","23"
"Tamang",""
"Female","3518"
"Male","3330"
"","6848"
"Teli",""
"Female","9"
"Male","5"
"","14"
"Terai Others",""
"Female","9"
"Male","10"
"","19"
"Thakuri",""
"Female","30"
"Male","23"
"","53"
"Tharu",""
"Female","14"
"Male","17"
"","31"
