"Population by Educational Attainment","Number"
"Beginners",""
"Female","335"
"Male","386"
"","721"
"Graduate and Equivalent",""
"Female","194"
"Male","292"
"","486"
"Intermediate and Equivalent",""
"Female","711"
"Male","899"
"","1610"
"Level not Stated",""
"Female","34"
"Male","42"
"","76"
"Lower Secondary (Class 6-8)",""
"Female","1508"
"Male","1815"
"","3323"
"Non Formal Education",""
"Female","771"
"Male","724"
"","1495"
"Others",""
"Female","7"
"Male","12"
"","19"
"Post Graduate Equivalent and Above",""
"Female","29"
"Male","98"
"","127"
"Primary Education (1-5 Class)",""
"Female","2250"
"Male","2743"
"","4993"
"Secondary Level (Class 9-10)",""
"Female","1030"
"Male","1187"
"","2217"
"SLC and Equivalent",""
"Female","869"
"Male","1212"
"","2081"
