"Employed Population by Occupation","Number"
"Clerical support workers",""
"Female","3000"
"Male","31000"
"Craft and Related Trade Workers",""
"Female","36000"
"Male","181000"
"Elementary Occupation",""
"Female","153000"
"Male","249000"
"Managers",""
"Female","0"
"Male","9000"
"Not elsewhere classified",""
"Female","0"
"Male","1000"
"Plant and Machines Operaters and Assemblers",""
"Female","2000"
"Male","67000"
"Professionals",""
"Female","24000"
"Male","35000"
"Service and Sales Workers",""
"Female","73000"
"Male","149000"
"Skilled agricultural, forestry and fishery workers",""
"Female","101000"
"Male","104000"
"Technician and Associate Professional",""
"Female","12000"
"Male","33000"
