"Population by Educational Attainment","Number"
"Beginners",""
"Female","232"
"Male","284"
"Graduate and Equivalent",""
"Female","4"
"Male","19"
"Intermediate and Equivalent",""
"Female","19"
"Male","61"
"Level not Stated",""
"Female","2"
"Male","7"
"Lower Secondary (Class 6-8)",""
"Female","403"
"Male","525"
"Non Formal Education",""
"Female","220"
"Male","259"
"Others",""
"Female","0"
"Male","2"
"Post Graduate Equivalent and Above",""
"Female","0"
"Male","5"
"Primary Education (1-5 Class)",""
"Female","1311"
"Male","1463"
"Secondary Level (Class 9-10)",""
"Female","138"
"Male","241"
"SLC and Equivalent",""
"Female","77"
"Male","131"
