"Population by disability type","Number"
"Blind/low vision",""
"Female","39"
"Male","37"
"","76"
"Deaf/hard of hearing",""
"Female","43"
"Male","46"
"","89"
"Deaf-Blind",""
"Female","3"
"Male","3"
"","6"
"Intellectual disable",""
"Female","17"
"Male","15"
"","32"
"Mental disable",""
"Female","20"
"Male","19"
"","39"
"Multiple disable",""
"Female","36"
"Male","34"
"","70"
"No disability",""
"Female","17741"
"Male","13082"
"","30823"
"Physical",""
"Female","69"
"Male","89"
"","158"
"Speech problem",""
"Female","34"
"Male","35"
"","69"
