"Population by disability type","Number"
"Blind/low vision",""
"Female","128"
"Male","147"
"","275"
"Deaf/hard of hearing",""
"Female","36"
"Male","28"
"","64"
"Deaf-Blind",""
"Female","2"
"Male","4"
"","6"
"Intellectual disable",""
"Female","8"
"Male","5"
"","13"
"Mental disable",""
"Female","21"
"Male","32"
"","53"
"Multiple disable",""
"Female","64"
"Male","44"
"","108"
"No disability",""
"Female","24448"
"Male","24393"
"","48841"
"Physical",""
"Female","104"
"Male","171"
"","275"
"Speech problem",""
"Female","25"
"Male","32"
"","57"
