"Population by Mother tongue","Number"
"Angika",""
"Female","237"
"Male","278"
"Bangla",""
"Female","49"
"Male","69"
"Bhojpuri",""
"Female","110"
"Male","110"
"Bhujel",""
"Female","45"
"Male","48"
"Hindi",""
"Female","127"
"Male","147"
"Khariya",""
"Female","56"
"Male","54"
"Limbu",""
"Female","9"
"Male","6"
"Magahi",""
"Female","223"
"Male","238"
"Magar",""
"Female","31"
"Male","31"
"Maithili",""
"Female","8453"
"Male","8989"
"Nepali",""
"Female","4901"
"Male","4898"
"Newar",""
"Female","47"
"Male","51"
"Not Reported",""
"Female","77"
"Male","75"
"Others",""
"Female","43"
"Male","37"
"Rai",""
"Female","63"
"Male","64"
"Rajbanshi",""
"Female","2576"
"Male","2689"
"Rajsthani",""
"Female","44"
"Male","39"
"Santhali",""
"Female","520"
"Male","531"
"Sunuwar",""
"Female","7"
"Male","9"
"Tamang",""
"Female","71"
"Male","59"
"Tharu",""
"Female","1023"
"Male","894"
"Uranw/Urau",""
"Female","366"
"Male","372"
"Urdu",""
"Female","498"
"Male","511"
