"Population by disability type","Number"
"Blind/low vision",""
"Female","17"
"Male","29"
"","46"
"Deaf/hard of hearing",""
"Female","22"
"Male","20"
"","42"
"Deaf-Blind",""
"Female","1"
"Male","1"
"","2"
"Intellectual disable",""
"Female","6"
"Male","6"
"","12"
"Mental disable",""
"Female","18"
"Male","5"
"","23"
"Multiple disable",""
"Female","14"
"Male","7"
"","21"
"No disability",""
"Female","7723"
"Male","6466"
"","14189"
"Physical",""
"Female","31"
"Male","65"
"","96"
"Speech problem",""
"Female","15"
"Male","24"
"","39"
