"Population by disability type","Number"
"Blind/low vision",""
"Female","91"
"Male","81"
"","172"
"Deaf/hard of hearing",""
"Female","91"
"Male","68"
"","159"
"Deaf-Blind",""
"Female","14"
"Male","19"
"","33"
"Intellectual disable",""
"Female","12"
"Male","12"
"","24"
"Mental disable",""
"Female","39"
"Male","38"
"","77"
"Multiple disable",""
"Female","42"
"Male","41"
"","83"
"No disability",""
"Female","53220"
"Male","53662"
"","106882"
"Physical",""
"Female","167"
"Male","202"
"","369"
"Speech problem",""
"Female","57"
"Male","62"
"","119"
