"Population by disability type","Number"
"Blind/low vision",""
"Female","53"
"Male","41"
"","94"
"Deaf/hard of hearing",""
"Female","31"
"Male","34"
"","65"
"Deaf-Blind",""
"Female","5"
"Male","8"
"","13"
"Intellectual disable",""
"Female","6"
"Male","9"
"","15"
"Mental disable",""
"Female","10"
"Male","16"
"","26"
"Multiple disable",""
"Female","16"
"Male","31"
"","47"
"No disability",""
"Female","22238"
"Male","22481"
"","44719"
"Physical",""
"Female","66"
"Male","128"
"","194"
"Speech problem",""
"Female","29"
"Male","39"
"","68"
