"Population by disability type","Number"
"Blind/low vision",""
"Female","28"
"Male","49"
"","77"
"Deaf/hard of hearing",""
"Female","68"
"Male","59"
"","127"
"Deaf-Blind",""
"Female","2"
"Male","6"
"","8"
"Intellectual disable",""
"Female","9"
"Male","9"
"","18"
"Mental disable",""
"Female","31"
"Male","31"
"","62"
"Multiple disable",""
"Female","26"
"Male","22"
"","48"
"No disability",""
"Female","11688"
"Male","8900"
"","20588"
"Physical",""
"Female","114"
"Male","162"
"","276"
"Speech problem",""
"Female","36"
"Male","44"
"","80"
