"Population by disability type","Number"
"Blind/low vision",""
"Female","46"
"Male","58"
"","104"
"Deaf/hard of hearing",""
"Female","55"
"Male","69"
"","124"
"Deaf-Blind",""
"Female","4"
"Male","4"
"","8"
"Intellectual disable",""
"Female","6"
"Male","11"
"","17"
"Mental disable",""
"Female","28"
"Male","29"
"","57"
"Multiple disable",""
"Female","34"
"Male","52"
"","86"
"No disability",""
"Female","11187"
"Male","9695"
"","20882"
"Physical",""
"Female","123"
"Male","154"
"","277"
"Speech problem",""
"Female","24"
"Male","40"
"","64"
