"Population by Educational Attainment","Number"
"Beginners",""
"Female","110"
"Male","126"
"","236"
"Graduate and Equivalent",""
"Female","38"
"Male","125"
"","163"
"Intermediate and Equivalent",""
"Female","293"
"Male","365"
"","658"
"Level not Stated",""
"Female","25"
"Male","40"
"","65"
"Lower Secondary (Class 6-8)",""
"Female","1883"
"Male","1723"
"","3606"
"Non Formal Education",""
"Female","211"
"Male","128"
"","339"
"Others",""
"Female","0"
"Male","0"
"","0"
"Post Graduate Equivalent and Above",""
"Female","5"
"Male","37"
"","42"
"Primary Education (1-5 Class)",""
"Female","2607"
"Male","3038"
"","5645"
"Secondary Level (Class 9-10)",""
"Female","1227"
"Male","1288"
"","2515"
"SLC and Equivalent",""
"Female","1013"
"Male","960"
"","1973"
