"Population by disability type","Number"
"Blind/low vision",""
"Female","336"
"Male","301"
"","637"
"Deaf/hard of hearing",""
"Female","215"
"Male","289"
"","504"
"Deaf-Blind",""
"Female","18"
"Male","33"
"","51"
"Intellectual disable",""
"Female","38"
"Male","31"
"","69"
"Mental disable",""
"Female","89"
"Male","83"
"","172"
"Multiple disable",""
"Female","185"
"Male","213"
"","398"
"No disability",""
"Female","65143"
"Male","57577"
"","122720"
"Physical",""
"Female","635"
"Male","911"
"","1546"
"Speech problem",""
"Female","160"
"Male","191"
"","351"
