"Population by Caste/Ethinicity","Number"
"Badhaee",""
"Female","108"
"Male","107"
"Badi",""
"Female","18"
"Male","23"
"Bangali",""
"Female","10"
"Male","8"
"Bantar/Sardar",""
"Female","23"
"Male","18"
"Baraee",""
"Female","178"
"Male","188"
"Bin",""
"Female","20"
"Male","28"
"Brahman - Hill",""
"Female","3149"
"Male","2802"
"Brahman - Tarai",""
"Female","100"
"Male","100"
"Chamar/ Harijan/ Ram",""
"Female","492"
"Male","475"
"Chhetri",""
"Female","4307"
"Male","3897"
"Dalit Others",""
"Female","14"
"Male","14"
"Damai/Dholi",""
"Female","633"
"Male","571"
"Danuwar",""
"Female","60"
"Male","70"
"Dhanuk",""
"Female","326"
"Male","335"
"Dhobi",""
"Female","22"
"Male","31"
"Dhunia",""
"Female","8"
"Male","6"
"Dom",""
"Female","27"
"Male","30"
"Dusadh/ Pasawan/ Pasi",""
"Female","201"
"Male","178"
"Gaderi/Bhedihar",""
"Female","32"
"Male","27"
"Gharti/Bhujel",""
"Female","556"
"Male","515"
"Gurung",""
"Female","17"
"Male","8"
"Hajam/Thakur",""
"Female","187"
"Male","198"
"Halwai",""
"Female","111"
"Male","119"
"Kalwar",""
"Female","464"
"Male","488"
"Kami",""
"Female","1437"
"Male","1254"
"Kanu",""
"Female","150"
"Male","150"
"Kathabaniyan",""
"Female","91"
"Male","86"
"Kayastha",""
"Female","53"
"Male","71"
"Kewat",""
"Female","130"
"Male","113"
"Khatwe",""
"Female","41"
"Male","22"
"Koiri/Kushwaha",""
"Female","4740"
"Male","4871"
"Kumal",""
"Female","6"
"Male","12"
"Kumhar",""
"Female","7"
"Male","6"
"Kurmi",""
"Female","46"
"Male","51"
"Limbu",""
"Female","9"
"Male","7"
"Lohar",""
"Female","101"
"Male","108"
"Magar",""
"Female","4604"
"Male","4322"
"Majhi",""
"Female","266"
"Male","261"
"Mallaha",""
"Female","56"
"Male","56"
"Marwadi",""
"Female","5"
"Male","9"
"Musahar",""
"Female","327"
"Male","340"
"Musalman",""
"Female","644"
"Male","639"
"Newar",""
"Female","1211"
"Male","1139"
"Nuniya",""
"Female","70"
"Male","62"
"Others",""
"Female","24"
"Male","23"
"Rai",""
"Female","166"
"Male","137"
"Rajput",""
"Female","43"
"Male","61"
"Sanyasi/Dasnami",""
"Female","172"
"Male","158"
"Sarki",""
"Female","366"
"Male","333"
"Sonar",""
"Female","270"
"Male","268"
"Sudhi",""
"Female","334"
"Male","333"
"Sunuwar",""
"Female","57"
"Male","56"
"Tamang",""
"Female","4160"
"Male","3927"
"Tatma/Tatwa",""
"Female","192"
"Male","199"
"Teli",""
"Female","473"
"Male","445"
"Terai Others",""
"Female","32"
"Male","29"
"Thakuri",""
"Female","272"
"Male","257"
"Tharu",""
"Female","157"
"Male","171"
"Undefined Others",""
"Female","25"
"Male","20"
"Yadav",""
"Female","1063"
"Male","1117"
