"Population by Educational Attainment","Number"
"Beginners",""
"Female","447"
"Male","404"
"Graduate and Equivalent",""
"Female","95"
"Male","258"
"Intermediate and Equivalent",""
"Female","508"
"Male","596"
"Level not Stated",""
"Female","71"
"Male","48"
"Lower Secondary (Class 6-8)",""
"Female","4150"
"Male","3372"
"Non Formal Education",""
"Female","854"
"Male","773"
"Others",""
"Female","11"
"Male","19"
"Post Graduate Equivalent and Above",""
"Female","11"
"Male","91"
"Primary Education (1-5 Class)",""
"Female","6474"
"Male","6180"
"Secondary Level (Class 9-10)",""
"Female","1929"
"Male","1826"
"SLC and Equivalent",""
"Female","1343"
"Male","1460"
