"Population by Educational Attainment","Number"
"Beginners",""
"Female","202"
"Male","218"
"","420"
"Graduate and Equivalent",""
"Female","9"
"Male","50"
"","59"
"Intermediate and Equivalent",""
"Female","149"
"Male","211"
"","360"
"Level not Stated",""
"Female","4"
"Male","12"
"","16"
"Lower Secondary (Class 6-8)",""
"Female","1224"
"Male","1232"
"","2456"
"Non Formal Education",""
"Female","258"
"Male","227"
"","485"
"Others",""
"Female","6"
"Male","4"
"","10"
"Post Graduate Equivalent and Above",""
"Female","1"
"Male","20"
"","21"
"Primary Education (1-5 Class)",""
"Female","2455"
"Male","2652"
"","5107"
"Secondary Level (Class 9-10)",""
"Female","489"
"Male","601"
"","1090"
"SLC and Equivalent",""
"Female","306"
"Male","448"
"","754"
