"Population by Educational Attainment","Number"
"Beginners",""
"Female","229"
"Male","247"
"Graduate and Equivalent",""
"Female","56"
"Male","112"
"Intermediate and Equivalent",""
"Female","391"
"Male","351"
"Level not Stated",""
"Female","42"
"Male","33"
"Lower Secondary (Class 6-8)",""
"Female","1864"
"Male","1819"
"Non Formal Education",""
"Female","650"
"Male","505"
"Others",""
"Female","5"
"Male","8"
"Post Graduate Equivalent and Above",""
"Female","8"
"Male","49"
"Primary Education (1-5 Class)",""
"Female","3491"
"Male","3914"
"Secondary Level (Class 9-10)",""
"Female","840"
"Male","828"
"SLC and Equivalent",""
"Female","514"
"Male","724"
