"Population by disability type","Number"
"Blind/low vision",""
"Female","331"
"Male","330"
"","661"
"Deaf/hard of hearing",""
"Female","349"
"Male","426"
"","775"
"Deaf-Blind",""
"Female","43"
"Male","40"
"","83"
"Intellectual disable",""
"Female","57"
"Male","49"
"","106"
"Mental disable",""
"Female","119"
"Male","135"
"","254"
"Multiple disable",""
"Female","203"
"Male","225"
"","428"
"No disability",""
"Female","94277"
"Male","82346"
"","176623"
"Physical",""
"Female","704"
"Male","994"
"","1698"
"Speech problem",""
"Female","273"
"Male","324"
"","597"
