"Population by disability type","Number"
"Blind/low vision",""
"Female","49"
"Male","63"
"","112"
"Deaf/hard of hearing",""
"Female","54"
"Male","52"
"","106"
"Deaf-Blind",""
"Female","4"
"Male","6"
"","10"
"Intellectual disable",""
"Female","15"
"Male","11"
"","26"
"Mental disable",""
"Female","36"
"Male","29"
"","65"
"Multiple disable",""
"Female","28"
"Male","36"
"","64"
"No disability",""
"Female","47949"
"Male","50235"
"","98184"
"Physical",""
"Female","145"
"Male","223"
"","368"
"Speech problem",""
"Female","43"
"Male","54"
"","97"
