"Population by Mother tongue","Number"
"Avadhi",""
"Female","4"
"Male","25"
"","29"
"Bangla",""
"Female","5"
"Male","31"
"","36"
"Bantawa",""
"Female","28"
"Male","23"
"","51"
"Bhojpuri",""
"Female","184"
"Male","387"
"","571"
"Bhujel",""
"Female","8"
"Male","5"
"","13"
"Chamling",""
"Female","2"
"Male","11"
"","13"
"Chhantyal",""
"Female","99"
"Male","102"
"","201"
"Danuwar",""
"Female","8"
"Male","9"
"","17"
"Doteli",""
"Female","6"
"Male","16"
"","22"
"English",""
"Female","15"
"Male","21"
"","36"
"Ghale",""
"Female","120"
"Male","107"
"","227"
"Gurung",""
"Female","1375"
"Male","1225"
"","2600"
"Hindi",""
"Female","61"
"Male","174"
"","235"
"Jirel",""
"Female","7"
"Male","7"
"","14"
"Khaling",""
"Female","20"
"Male","33"
"","53"
"Kham",""
"Female","24"
"Male","20"
"","44"
"Kulung",""
"Female","9"
"Male","7"
"","16"
"Limbu",""
"Female","163"
"Male","189"
"","352"
"Magar",""
"Female","931"
"Male","1069"
"","2000"
"Maithili",""
"Female","422"
"Male","1091"
"","1513"
"Nepali",""
"Female","34147"
"Male","35684"
"","69831"
"Newar",""
"Female","6568"
"Male","6269"
"","12837"
"Not Reported",""
"Female","19"
"Male","20"
"","39"
"Others",""
"Female","108"
"Male","119"
"","227"
"Rai",""
"Female","478"
"Male","491"
"","969"
"Rajsthani",""
"Female","10"
"Male","9"
"","19"
"Sanskrit",""
"Female","11"
"Male","12"
"","23"
"Sherpa",""
"Female","289"
"Male","269"
"","558"
"Sunuwar",""
"Female","34"
"Male","40"
"","74"
"Tamang",""
"Female","2812"
"Male","2703"
"","5515"
"Thakali",""
"Female","53"
"Male","54"
"","107"
"Thami",""
"Female","15"
"Male","15"
"","30"
"Tharu",""
"Female","240"
"Male","381"
"","621"
"Thulung",""
"Female","17"
"Male","18"
"","35"
"Urdu",""
"Female","18"
"Male","61"
"","79"
"Wambule",""
"Female","13"
"Male","12"
"","25"
