"Population by Educational Attainment","Number"
"Beginners",""
"Female","2212"
"Male","2462"
"Graduate and Equivalent",""
"Female","415"
"Male","1013"
"Intermediate and Equivalent",""
"Female","2858"
"Male","3297"
"Level not Stated",""
"Female","380"
"Male","436"
"Lower Secondary (Class 6-8)",""
"Female","14308"
"Male","16693"
"Non Formal Education",""
"Female","7512"
"Male","7727"
"Others",""
"Female","45"
"Male","95"
"Post Graduate Equivalent and Above",""
"Female","109"
"Male","529"
"Primary Education (1-5 Class)",""
"Female","33420"
"Male","39061"
"Secondary Level (Class 9-10)",""
"Female","6522"
"Male","8198"
"SLC and Equivalent",""
"Female","4682"
"Male","6225"
