"Population by Educational Attainment","Number"
"Beginners",""
"Female","848"
"Male","939"
"","1787"
"Graduate and Equivalent",""
"Female","25"
"Male","124"
"","149"
"Intermediate and Equivalent",""
"Female","151"
"Male","344"
"","495"
"Level not Stated",""
"Female","19"
"Male","16"
"","35"
"Lower Secondary (Class 6-8)",""
"Female","1299"
"Male","1581"
"","2880"
"Non Formal Education",""
"Female","223"
"Male","143"
"","366"
"Others",""
"Female","11"
"Male","8"
"","19"
"Post Graduate Equivalent and Above",""
"Female","3"
"Male","21"
"","24"
"Primary Education (1-5 Class)",""
"Female","3929"
"Male","4201"
"","8130"
"Secondary Level (Class 9-10)",""
"Female","506"
"Male","736"
"","1242"
"SLC and Equivalent",""
"Female","373"
"Male","643"
"","1016"
