"Population by disability type","Number"
"Blind/low vision",""
"Female","253"
"Male","161"
"","414"
"Deaf/hard of hearing",""
"Female","161"
"Male","127"
"","288"
"Deaf-Blind",""
"Female","12"
"Male","6"
"","18"
"Intellectual disable",""
"Female","10"
"Male","10"
"","20"
"Mental disable",""
"Female","12"
"Male","24"
"","36"
"Multiple disable",""
"Female","46"
"Male","45"
"","91"
"No disability",""
"Female","17569"
"Male","12728"
"","30297"
"Physical",""
"Female","271"
"Male","241"
"","512"
"Speech problem",""
"Female","47"
"Male","78"
"","125"
