"Population by disability type","Number"
"Blind/low vision",""
"Female","26"
"Male","37"
"","63"
"Deaf/hard of hearing",""
"Female","44"
"Male","58"
"","102"
"Deaf-Blind",""
"Female","5"
"Male","7"
"","12"
"Intellectual disable",""
"Female","5"
"Male","4"
"","9"
"Mental disable",""
"Female","7"
"Male","8"
"","15"
"Multiple disable",""
"Female","13"
"Male","13"
"","26"
"No disability",""
"Female","11420"
"Male","10209"
"","21629"
"Physical",""
"Female","115"
"Male","169"
"","284"
"Speech problem",""
"Female","26"
"Male","28"
"","54"
