"Population by Educational Attainment","Number"
"Beginners",""
"Female","223"
"Male","224"
"","447"
"Graduate and Equivalent",""
"Female","15"
"Male","68"
"","83"
"Intermediate and Equivalent",""
"Female","118"
"Male","354"
"","472"
"Level not Stated",""
"Female","17"
"Male","19"
"","36"
"Lower Secondary (Class 6-8)",""
"Female","1165"
"Male","1392"
"","2557"
"Non Formal Education",""
"Female","302"
"Male","201"
"","503"
"Others",""
"Female","2"
"Male","2"
"","4"
"Post Graduate Equivalent and Above",""
"Female","2"
"Male","18"
"","20"
"Primary Education (1-5 Class)",""
"Female","3084"
"Male","3461"
"","6545"
"Secondary Level (Class 9-10)",""
"Female","529"
"Male","628"
"","1157"
"SLC and Equivalent",""
"Female","239"
"Male","346"
"","585"
