"Population by disability type","Number"
"Blind/low vision",""
"Female","157"
"Male","142"
"","299"
"Deaf/hard of hearing",""
"Female","109"
"Male","163"
"","272"
"Deaf-Blind",""
"Female","8"
"Male","6"
"","14"
"Intellectual disable",""
"Female","9"
"Male","14"
"","23"
"Mental disable",""
"Female","20"
"Male","18"
"","38"
"Multiple disable",""
"Female","32"
"Male","33"
"","65"
"No disability",""
"Female","17160"
"Male","16446"
"","33606"
"Physical",""
"Female","413"
"Male","464"
"","877"
"Speech problem",""
"Female","33"
"Male","68"
"","101"
