"Population by disability type","Number"
"Blind/low vision",""
"Female","31"
"Male","43"
"","74"
"Deaf/hard of hearing",""
"Female","62"
"Male","42"
"","104"
"Deaf-Blind",""
"Female","4"
"Male","5"
"","9"
"Intellectual disable",""
"Female","11"
"Male","10"
"","21"
"Mental disable",""
"Female","21"
"Male","26"
"","47"
"Multiple disable",""
"Female","27"
"Male","16"
"","43"
"No disability",""
"Female","9846"
"Male","7236"
"","17082"
"Physical",""
"Female","108"
"Male","135"
"","243"
"Speech problem",""
"Female","32"
"Male","31"
"","63"
