"Population by Educational Attainment","Number"
"Beginners",""
"Female","374"
"Male","438"
"Graduate and Equivalent",""
"Female","9"
"Male","39"
"Intermediate and Equivalent",""
"Female","88"
"Male","133"
"Level not Stated",""
"Female","30"
"Male","35"
"Lower Secondary (Class 6-8)",""
"Female","967"
"Male","1007"
"Non Formal Education",""
"Female","887"
"Male","356"
"Others",""
"Female","6"
"Male","5"
"Post Graduate Equivalent and Above",""
"Female","1"
"Male","6"
"Primary Education (1-5 Class)",""
"Female","3005"
"Male","3215"
"Secondary Level (Class 9-10)",""
"Female","232"
"Male","337"
"SLC and Equivalent",""
"Female","172"
"Male","227"
