"Population by disability type","Number"
"Blind/low vision",""
"Female","92"
"Male","80"
"","172"
"Deaf/hard of hearing",""
"Female","63"
"Male","60"
"","123"
"Deaf-Blind",""
"Female","7"
"Male","9"
"","16"
"Intellectual disable",""
"Female","17"
"Male","15"
"","32"
"Mental disable",""
"Female","29"
"Male","28"
"","57"
"Multiple disable",""
"Female","44"
"Male","36"
"","80"
"No disability",""
"Female","20134"
"Male","17047"
"","37181"
"Physical",""
"Female","128"
"Male","151"
"","279"
"Speech problem",""
"Female","32"
"Male","61"
"","93"
