"Population by disability type","Number"
"Blind/low vision",""
"Female","213"
"Male","183"
"","396"
"Deaf/hard of hearing",""
"Female","136"
"Male","126"
"","262"
"Deaf-Blind",""
"Female","17"
"Male","11"
"","28"
"Intellectual disable",""
"Female","20"
"Male","16"
"","36"
"Mental disable",""
"Female","54"
"Male","55"
"","109"
"Multiple disable",""
"Female","58"
"Male","71"
"","129"
"No disability",""
"Female","39142"
"Male","34498"
"","73640"
"Physical",""
"Female","302"
"Male","345"
"","647"
"Speech problem",""
"Female","75"
"Male","103"
"","178"
