"Population by Educational Attainment","Number"
"Beginners",""
"Female","810"
"Male","822"
"Graduate and Equivalent",""
"Female","90"
"Male","358"
"Intermediate and Equivalent",""
"Female","359"
"Male","695"
"Level not Stated",""
"Female","47"
"Male","64"
"Lower Secondary (Class 6-8)",""
"Female","1384"
"Male","1756"
"Non Formal Education",""
"Female","160"
"Male","150"
"Others",""
"Female","7"
"Male","14"
"Post Graduate Equivalent and Above",""
"Female","20"
"Male","190"
"Primary Education (1-5 Class)",""
"Female","3765"
"Male","4382"
"Secondary Level (Class 9-10)",""
"Female","632"
"Male","897"
"SLC and Equivalent",""
"Female","725"
"Male","1087"
