"Population by Educational Attainment","Number"
"Beginners",""
"Female","1570"
"Male","1752"
"Graduate and Equivalent",""
"Female","1039"
"Male","2073"
"Intermediate and Equivalent",""
"Female","3639"
"Male","4367"
"Level not Stated",""
"Female","166"
"Male","166"
"Lower Secondary (Class 6-8)",""
"Female","9562"
"Male","9777"
"Non Formal Education",""
"Female","2395"
"Male","2348"
"Others",""
"Female","24"
"Male","28"
"Post Graduate Equivalent and Above",""
"Female","202"
"Male","668"
"Primary Education (1-5 Class)",""
"Female","14224"
"Male","15428"
"Secondary Level (Class 9-10)",""
"Female","7176"
"Male","7226"
"SLC and Equivalent",""
"Female","8616"
"Male","8313"
