"Population by Caste/Ethinicity","Number"
"#VALUE!",""
"Female","9"
"Male","12"
"Amat",""
"Female","7"
"Male","11"
"Badhaee",""
"Female","52"
"Male","65"
"Badi",""
"Female","37"
"Male","36"
"Bahing",""
"Female","6"
"Male","6"
"Bangali",""
"Female","123"
"Male","175"
"Bantaba",""
"Female","184"
"Male","151"
"Bantar/Sardar",""
"Female","2071"
"Male","2092"
"Baraee",""
"Female","46"
"Male","52"
"Bhote",""
"Female","16"
"Male","8"
"Brahman - Hill",""
"Female","12526"
"Male","11343"
"Brahman - Tarai",""
"Female","379"
"Male","421"
"Chamar/ Harijan/ Ram",""
"Female","316"
"Male","282"
"Chamling",""
"Female","94"
"Male","72"
"Chhetri",""
"Female","12657"
"Male","10925"
"Dalit Others",""
"Female","94"
"Male","90"
"Damai/Dholi",""
"Female","939"
"Male","817"
"Danuwar",""
"Female","322"
"Male","270"
"Dev",""
"Female","5"
"Male","9"
"Dhanuk",""
"Female","168"
"Male","267"
"Dhimal",""
"Female","138"
"Male","108"
"Dhobi",""
"Female","18"
"Male","23"
"Dhunia",""
"Female","49"
"Male","64"
"Dom",""
"Female","118"
"Male","137"
"Dusadh/ Pasawan/ Pasi",""
"Female","197"
"Male","201"
"Foreigner",""
"Female","17"
"Male","8"
"Gaderi/Bhedihar",""
"Female","6"
"Male","8"
"Gangai",""
"Female","6"
"Male","14"
"Ghale",""
"Female","21"
"Male","10"
"Gharti/Bhujel",""
"Female","642"
"Male","548"
"Gurung",""
"Female","1266"
"Male","918"
"Hajam/Thakur",""
"Female","318"
"Male","305"
"Halwai",""
"Female","520"
"Male","532"
"Janajati Others",""
"Female","13"
"Male","15"
"Jhangad/ Dhagar",""
"Female","29"
"Male","40"
"Kalwar",""
"Female","223"
"Male","246"
"Kami",""
"Female","1655"
"Male","1551"
"Kathabaniyan",""
"Female","226"
"Male","276"
"Kayastha",""
"Female","81"
"Male","92"
"Kewat",""
"Female","25"
"Male","31"
"Khatwe",""
"Female","32"
"Male","37"
"Khawas",""
"Female","145"
"Male","151"
"Koche",""
"Female","10"
"Male","13"
"Koiri/Kushwaha",""
"Female","133"
"Male","217"
"Kulung",""
"Female","50"
"Male","40"
"Kumal",""
"Female","84"
"Male","64"
"Kumhar",""
"Female","9"
"Male","11"
"Kurmi",""
"Female","24"
"Male","37"
"Lepcha",""
"Female","9"
"Male","5"
"Limbu",""
"Female","2270"
"Male","1869"
"Lohar",""
"Female","30"
"Male","32"
"Loharung",""
"Female","10"
"Male","7"
"Magar",""
"Female","1589"
"Male","1374"
"Majhi",""
"Female","257"
"Male","245"
"Mali",""
"Female","10"
"Male","10"
"Mallaha",""
"Female","77"
"Male","99"
"Marwadi",""
"Female","267"
"Male","307"
"Musahar",""
"Female","973"
"Male","930"
"Musalman",""
"Female","2235"
"Male","2356"
"Nachhiring",""
"Female","23"
"Male","25"
"Natuwa",""
"Female","6"
"Male","11"
"Newar",""
"Female","3248"
"Male","2819"
"Nuniya",""
"Female","12"
"Male","17"
"Others",""
"Female","42"
"Male","54"
"Pattharkatta/ Kushwadiya",""
"Female","44"
"Male","34"
"Punjabi/Sikh",""
"Female","53"
"Male","54"
"Rai",""
"Female","6296"
"Male","5108"
"Rajbansi",""
"Female","154"
"Male","164"
"Rajput",""
"Female","207"
"Male","245"
"Samgpang",""
"Female","62"
"Male","55"
"Sanyasi/Dasnami",""
"Female","1163"
"Male","913"
"Sarki",""
"Female","232"
"Male","196"
"Satar/ Santhal",""
"Female","26"
"Male","24"
"Sherpa",""
"Female","92"
"Male","79"
"Sonar",""
"Female","65"
"Male","65"
"Sudhi",""
"Female","108"
"Male","112"
"Sunuwar",""
"Female","80"
"Male","81"
"Tamang",""
"Female","2328"
"Male","1876"
"Tatma/Tatwa",""
"Female","22"
"Male","14"
"Teli",""
"Female","722"
"Male","821"
"Terai Others",""
"Female","102"
"Male","131"
"Thakuri",""
"Female","64"
"Male","62"
"Thami",""
"Female","26"
"Male","13"
"Tharu",""
"Female","14375"
"Male","12902"
"Thulung",""
"Female","49"
"Male","58"
"Undefined Others",""
"Female","196"
"Male","156"
"Yadav",""
"Female","257"
"Male","392"
"Yakkha",""
"Female","64"
"Male","50"
