"Population by Caste/Ethinicity","Number"
"Bote",""
"Female","57"
"Male","52"
"Brahman - Hill",""
"Female","793"
"Male","756"
"Brahman - Tarai",""
"Female","11"
"Male","8"
"Chamar/ Harijan/ Ram",""
"Female","11"
"Male","11"
"Chepang /Praja",""
"Female","31"
"Male","27"
"Chhetri",""
"Female","2209"
"Male","2043"
"Dalit Others",""
"Female","16"
"Male","17"
"Damai/Dholi",""
"Female","195"
"Male","161"
"Dhanuk",""
"Female","6"
"Male","5"
"Dusadh/ Pasawan/ Pasi",""
"Female","18"
"Male","23"
"Gaine",""
"Female","23"
"Male","26"
"Gharti/Bhujel",""
"Female","27"
"Male","30"
"Gurung",""
"Female","244"
"Male","248"
"Hajam/Thakur",""
"Female","8"
"Male","7"
"Jirel",""
"Female","6"
"Male","5"
"Kalwar",""
"Female","14"
"Male","13"
"Kami",""
"Female","492"
"Male","449"
"Kanu",""
"Female","16"
"Male","27"
"Kathabaniyan",""
"Female","13"
"Male","12"
"Koiri/Kushwaha",""
"Female","6"
"Male","9"
"Kumal",""
"Female","7"
"Male","8"
"Kurmi",""
"Female","6"
"Male","10"
"Magar",""
"Female","444"
"Male","363"
"Majhi",""
"Female","17"
"Male","22"
"Mallaha",""
"Female","8"
"Male","10"
"Musahar",""
"Female","9"
"Male","9"
"Newar",""
"Female","1895"
"Male","1760"
"Others",""
"Female","51"
"Male","40"
"Rai",""
"Female","36"
"Male","37"
"Sanyasi/Dasnami",""
"Female","32"
"Male","28"
"Sarki",""
"Female","80"
"Male","53"
"Sunuwar",""
"Female","51"
"Male","46"
"Tamang",""
"Female","3364"
"Male","3153"
"Teli",""
"Female","10"
"Male","10"
"Terai Others",""
"Female","14"
"Male","14"
"Thakuri",""
"Female","32"
"Male","32"
"Thami",""
"Female","18"
"Male","13"
"Tharu",""
"Female","256"
"Male","241"
"Yadav",""
"Female","39"
"Male","54"
