"Population by disability type","Number"
"Blind/low vision",""
"Female","162"
"Male","148"
"","310"
"Deaf/hard of hearing",""
"Female","107"
"Male","118"
"","225"
"Deaf-Blind",""
"Female","17"
"Male","12"
"","29"
"Intellectual disable",""
"Female","18"
"Male","16"
"","34"
"Mental disable",""
"Female","32"
"Male","42"
"","74"
"Multiple disable",""
"Female","46"
"Male","54"
"","100"
"No disability",""
"Female","27989"
"Male","24082"
"","52071"
"Physical",""
"Female","297"
"Male","357"
"","654"
"Speech problem",""
"Female","58"
"Male","78"
"","136"
