"Population by Educational Attainment","Number"
"Beginners",""
"Female","451"
"Male","465"
"","916"
"Graduate and Equivalent",""
"Female","15"
"Male","63"
"","78"
"Intermediate and Equivalent",""
"Female","58"
"Male","187"
"","245"
"Level not Stated",""
"Female","11"
"Male","12"
"","23"
"Lower Secondary (Class 6-8)",""
"Female","734"
"Male","1158"
"","1892"
"Non Formal Education",""
"Female","216"
"Male","79"
"","295"
"Others",""
"Female","3"
"Male","4"
"","7"
"Post Graduate Equivalent and Above",""
"Female","1"
"Male","9"
"","10"
"Primary Education (1-5 Class)",""
"Female","2470"
"Male","3309"
"","5779"
"Secondary Level (Class 9-10)",""
"Female","239"
"Male","449"
"","688"
"SLC and Equivalent",""
"Female","149"
"Male","282"
"","431"
