"Population by disability type","Number"
"Blind/low vision",""
"Female","63"
"Male","69"
"","132"
"Deaf/hard of hearing",""
"Female","33"
"Male","49"
"","82"
"Deaf-Blind",""
"Female","4"
"Male","4"
"","8"
"Intellectual disable",""
"Female","0"
"Male","7"
"","7"
"Mental disable",""
"Female","8"
"Male","13"
"","21"
"Multiple disable",""
"Female","16"
"Male","12"
"","28"
"No disability",""
"Female","9314"
"Male","9017"
"","18331"
"Physical",""
"Female","140"
"Male","133"
"","273"
"Speech problem",""
"Female","17"
"Male","25"
"","42"
