"Population by Educational Attainment","Number"
"Beginners",""
"Female","27232"
"Male","31064"
"Graduate and Equivalent",""
"Female","11792"
"Male","21566"
"Intermediate and Equivalent",""
"Female","44754"
"Male","48950"
"Level not Stated",""
"Female","2938"
"Male","2656"
"Lower Secondary (Class 6-8)",""
"Female","192142"
"Male","167414"
"Non Formal Education",""
"Female","53521"
"Male","39207"
"Others",""
"Female","474"
"Male","571"
"Post Graduate Equivalent and Above",""
"Female","2156"
"Male","8589"
"Primary Education (1-5 Class)",""
"Female","306604"
"Male","304941"
"Secondary Level (Class 9-10)",""
"Female","102441"
"Male","96856"
"SLC and Equivalent",""
"Female","83721"
"Male","91582"
