"Population by disability type","Number"
"Blind/low vision",""
"Female","36"
"Male","39"
"","75"
"Deaf/hard of hearing",""
"Female","18"
"Male","24"
"","42"
"Deaf-Blind",""
"Female","5"
"Male","4"
"","9"
"Intellectual disable",""
"Female","3"
"Male","5"
"","8"
"Mental disable",""
"Female","15"
"Male","21"
"","36"
"Multiple disable",""
"Female","17"
"Male","24"
"","41"
"No disability",""
"Female","17016"
"Male","17597"
"","34613"
"Physical",""
"Female","63"
"Male","114"
"","177"
"Speech problem",""
"Female","37"
"Male","35"
"","72"
