"Population by disability type","Number"
"Blind/low vision",""
"Female","91"
"Male","68"
"","159"
"Deaf/hard of hearing",""
"Female","56"
"Male","36"
"","92"
"Deaf-Blind",""
"Female","21"
"Male","14"
"","35"
"Intellectual disable",""
"Female","6"
"Male","5"
"","11"
"Mental disable",""
"Female","8"
"Male","8"
"","16"
"Multiple disable",""
"Female","27"
"Male","28"
"","55"
"No disability",""
"Female","12120"
"Male","10036"
"","22156"
"Physical",""
"Female","73"
"Male","80"
"","153"
"Speech problem",""
"Female","34"
"Male","27"
"","61"
