"Population by disability type","Number"
"Blind/low vision",""
"Female","63"
"Male","66"
"","129"
"Deaf/hard of hearing",""
"Female","74"
"Male","75"
"","149"
"Deaf-Blind",""
"Female","3"
"Male","4"
"","7"
"Intellectual disable",""
"Female","14"
"Male","9"
"","23"
"Mental disable",""
"Female","22"
"Male","22"
"","44"
"Multiple disable",""
"Female","30"
"Male","52"
"","82"
"No disability",""
"Female","14286"
"Male","12245"
"","26531"
"Physical",""
"Female","115"
"Male","141"
"","256"
"Speech problem",""
"Female","31"
"Male","56"
"","87"
