"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","10"
"Male","5"
"Brahman - Hill",""
"Female","6195"
"Male","5187"
"Brahman - Tarai",""
"Female","103"
"Male","101"
"Chhetri",""
"Female","6851"
"Male","5610"
"Dalit Others",""
"Female","1821"
"Male","1579"
"Damai/Dholi",""
"Female","197"
"Male","142"
"Dusadh/ Pasawan/ Pasi",""
"Female","17"
"Male","12"
"Gurung",""
"Female","7"
"Male","6"
"Kami",""
"Female","799"
"Male","676"
"Kathabaniyan",""
"Female","7"
"Male","7"
"Lohar",""
"Female","673"
"Male","634"
"Magar",""
"Female","60"
"Male","74"
"Musalman",""
"Female","3"
"Male","16"
"Newar",""
"Female","42"
"Male","40"
"Others",""
"Female","14"
"Male","11"
"Pahari",""
"Female","21"
"Male","18"
"Sanyasi/Dasnami",""
"Female","814"
"Male","587"
"Sarki",""
"Female","241"
"Male","222"
"Tamang",""
"Female","7"
"Male","7"
"Teli",""
"Female","11"
"Male","8"
"Terai Others",""
"Female","35"
"Male","42"
"Thakuri",""
"Female","912"
"Male","713"
"Thami",""
"Female","16"
"Male","11"
"Tharu",""
"Female","5"
"Male","6"
