"Population by Caste/Ethinicity","Number"
"Bhote",""
"Female","15"
"Male","8"
"Brahman - Hill",""
"Female","3865"
"Male","3663"
"Chepang /Praja",""
"Female","39"
"Male","29"
"Chhetri",""
"Female","3392"
"Male","3204"
"Damai/Dholi",""
"Female","244"
"Male","251"
"Danuwar",""
"Female","105"
"Male","100"
"Gharti/Bhujel",""
"Female","155"
"Male","137"
"Gurung",""
"Female","25"
"Male","21"
"Hajam/Thakur",""
"Female","6"
"Male","16"
"Halwai",""
"Female","7"
"Male","16"
"Jirel",""
"Female","8"
"Male","12"
"Kalwar",""
"Female","8"
"Male","13"
"Kami",""
"Female","357"
"Male","305"
"Kathabaniyan",""
"Female","9"
"Male","9"
"Limbu",""
"Female","5"
"Male","7"
"Magar",""
"Female","476"
"Male","463"
"Musalman",""
"Female","66"
"Male","73"
"Newar",""
"Female","1009"
"Male","980"
"Others",""
"Female","32"
"Male","65"
"Rai",""
"Female","476"
"Male","433"
"Rajput",""
"Female","5"
"Male","6"
"Sanyasi/Dasnami",""
"Female","233"
"Male","225"
"Sarki",""
"Female","710"
"Male","674"
"Sonar",""
"Female","6"
"Male","7"
"Tamang",""
"Female","4432"
"Male","4294"
"Teli",""
"Female","10"
"Male","7"
"Thakuri",""
"Female","115"
"Male","111"
"Tharu",""
"Female","17"
"Male","34"
"Undefined Others",""
"Female","4"
"Male","7"
"Yadav",""
"Female","1"
"Male","27"
