"Population by Mother tongue","Number"
"Bahing",""
"Female","59"
"Male","60"
"","119"
"Bangla",""
"Female","6"
"Male","32"
"","38"
"Bantawa",""
"Female","12324"
"Male","11871"
"","24195"
"Bhojpuri",""
"Female","69"
"Male","91"
"","160"
"Bhujel",""
"Female","432"
"Male","443"
"","875"
"Bote",""
"Female","271"
"Male","270"
"","541"
"Byansi",""
"Female","55"
"Male","51"
"","106"
"Chamling",""
"Female","1536"
"Male","1475"
"","3011"
"Danuwar",""
"Female","10"
"Male","12"
"","22"
"Dhimal",""
"Female","34"
"Male","37"
"","71"
"Doteli",""
"Female","28"
"Male","22"
"","50"
"Dumi",""
"Female","102"
"Male","72"
"","174"
"Dungmali",""
"Female","31"
"Male","30"
"","61"
"Gurung",""
"Female","3233"
"Male","2905"
"","6138"
"Hayu/Vayu",""
"Female","14"
"Male","15"
"","29"
"Hindi",""
"Female","81"
"Male","115"
"","196"
"Hyolmo/Yholmo",""
"Female","343"
"Male","291"
"","634"
"Khaling",""
"Female","281"
"Male","286"
"","567"
"Khash",""
"Female","18"
"Male","8"
"","26"
"Koyee",""
"Female","49"
"Male","50"
"","99"
"Kulung",""
"Female","835"
"Male","867"
"","1702"
"Kumal",""
"Female","52"
"Male","47"
"","99"
"Lapcha",""
"Female","1290"
"Male","1373"
"","2663"
"Limbu",""
"Female","21550"
"Male","19878"
"","41428"
"Lingkhim",""
"Female","37"
"Male","28"
"","65"
"Lohorung",""
"Female","49"
"Male","33"
"","82"
"Magar",""
"Female","6904"
"Male","6301"
"","13205"
"Maithili",""
"Female","391"
"Male","455"
"","846"
"Majhi",""
"Female","54"
"Male","37"
"","91"
"Mewahang",""
"Female","452"
"Male","442"
"","894"
"Nachhiring",""
"Female","174"
"Male","163"
"","337"
"Nepali",""
"Female","64094"
"Male","59020"
"","123114"
"Newar",""
"Female","2989"
"Male","2934"
"","5923"
"Not Reported",""
"Female","588"
"Male","535"
"","1123"
"Others",""
"Female","2119"
"Male","2076"
"","4195"
"Puma",""
"Female","20"
"Male","31"
"","51"
"Rai",""
"Female","12358"
"Male","11505"
"","23863"
"Rajbanshi",""
"Female","28"
"Male","35"
"","63"
"Rajsthani",""
"Female","69"
"Male","105"
"","174"
"Sam",""
"Female","135"
"Male","137"
"","272"
"Sampang",""
"Female","709"
"Male","779"
"","1488"
"Sanskrit",""
"Female","252"
"Male","234"
"","486"
"Santhali",""
"Female","10"
"Male","11"
"","21"
"Sherpa",""
"Female","1781"
"Male","1710"
"","3491"
"Sign Language",""
"Female","11"
"Male","13"
"","24"
"Sunuwar",""
"Female","1560"
"Male","1424"
"","2984"
"Tajpuriya",""
"Female","7"
"Male","7"
"","14"
"Tamang",""
"Female","8932"
"Male","8378"
"","17310"
"Thami",""
"Female","329"
"Male","383"
"","712"
"Tharu",""
"Female","30"
"Male","30"
"","60"
"Thulung",""
"Female","543"
"Male","545"
"","1088"
"Uranw/Urau",""
"Female","21"
"Male","26"
"","47"
"Urdu",""
"Female","15"
"Male","42"
"","57"
"Wambule",""
"Female","39"
"Male","29"
"","68"
"Yakkha",""
"Female","782"
"Male","718"
"","1500"
"Yamphu/Yamphe",""
"Female","658"
"Male","622"
"","1280"
