"Population by disability type","Number"
"Blind/low vision",""
"Female","50"
"Male","50"
"","100"
"Deaf/hard of hearing",""
"Female","66"
"Male","62"
"","128"
"Deaf-Blind",""
"Female","13"
"Male","7"
"","20"
"Intellectual disable",""
"Female","7"
"Male","9"
"","16"
"Mental disable",""
"Female","9"
"Male","25"
"","34"
"Multiple disable",""
"Female","24"
"Male","28"
"","52"
"No disability",""
"Female","16070"
"Male","13572"
"","29642"
"Physical",""
"Female","181"
"Male","198"
"","379"
"Speech problem",""
"Female","24"
"Male","40"
"","64"
