"Population by Educational Attainment","Number"
"Beginners",""
"Female","73"
"Male","50"
"","123"
"Graduate and Equivalent",""
"Female","0"
"Male","11"
"","11"
"Intermediate and Equivalent",""
"Female","10"
"Male","33"
"","43"
"Level not Stated",""
"Female","1"
"Male","1"
"","2"
"Lower Secondary (Class 6-8)",""
"Female","76"
"Male","152"
"","228"
"Non Formal Education",""
"Female","25"
"Male","8"
"","33"
"Others",""
"Female","0"
"Male","2"
"","2"
"Post Graduate Equivalent and Above",""
"Female","1"
"Male","3"
"","4"
"Primary Education (1-5 Class)",""
"Female","242"
"Male","258"
"","500"
"Secondary Level (Class 9-10)",""
"Female","50"
"Male","109"
"","159"
"SLC and Equivalent",""
"Female","26"
"Male","70"
"","96"
