"Population by disability type","Number"
"Blind/low vision",""
"Female","42"
"Male","27"
"","69"
"Deaf/hard of hearing",""
"Female","67"
"Male","63"
"","130"
"Deaf-Blind",""
"Female","4"
"Male","5"
"","9"
"Intellectual disable",""
"Female","10"
"Male","14"
"","24"
"Mental disable",""
"Female","18"
"Male","18"
"","36"
"Multiple disable",""
"Female","21"
"Male","35"
"","56"
"No disability",""
"Female","13715"
"Male","11042"
"","24757"
"Physical",""
"Female","124"
"Male","145"
"","269"
"Speech problem",""
"Female","25"
"Male","46"
"","71"
