"Population by disability type","Number"
"Blind/low vision",""
"Female","62"
"Male","53"
"","115"
"Deaf/hard of hearing",""
"Female","76"
"Male","62"
"","138"
"Deaf-Blind",""
"Female","5"
"Male","2"
"","7"
"Intellectual disable",""
"Female","10"
"Male","15"
"","25"
"Mental disable",""
"Female","27"
"Male","34"
"","61"
"Multiple disable",""
"Female","28"
"Male","33"
"","61"
"No disability",""
"Female","28052"
"Male","26578"
"","54630"
"Physical",""
"Female","145"
"Male","164"
"","309"
"Speech problem",""
"Female","33"
"Male","51"
"","84"
