"Population by disability type","Number"
"Blind/low vision",""
"Female","103"
"Male","81"
"","184"
"Deaf/hard of hearing",""
"Female","60"
"Male","75"
"","135"
"Deaf-Blind",""
"Female","9"
"Male","10"
"","19"
"Intellectual disable",""
"Female","8"
"Male","5"
"","13"
"Mental disable",""
"Female","36"
"Male","33"
"","69"
"Multiple disable",""
"Female","18"
"Male","23"
"","41"
"No disability",""
"Female","17039"
"Male","14478"
"","31517"
"Physical",""
"Female","197"
"Male","225"
"","422"
"Speech problem",""
"Female","36"
"Male","50"
"","86"
