"Population by Educational Attainment","Number"
"Beginners",""
"Female","217"
"Male","250"
"Graduate and Equivalent",""
"Female","103"
"Male","194"
"Intermediate and Equivalent",""
"Female","383"
"Male","390"
"Level not Stated",""
"Female","49"
"Male","45"
"Lower Secondary (Class 6-8)",""
"Female","2489"
"Male","1881"
"Non Formal Education",""
"Female","772"
"Male","620"
"Others",""
"Female","6"
"Male","3"
"Post Graduate Equivalent and Above",""
"Female","9"
"Male","63"
"Primary Education (1-5 Class)",""
"Female","3415"
"Male","3071"
"Secondary Level (Class 9-10)",""
"Female","1516"
"Male","1279"
"SLC and Equivalent",""
"Female","715"
"Male","739"
