"Population by disability type","Number"
"Blind/low vision",""
"Female","41"
"Male","32"
"","73"
"Deaf/hard of hearing",""
"Female","19"
"Male","22"
"","41"
"Deaf-Blind",""
"Female","4"
"Male","1"
"","5"
"Intellectual disable",""
"Female","4"
"Male","7"
"","11"
"Mental disable",""
"Female","7"
"Male","18"
"","25"
"Multiple disable",""
"Female","14"
"Male","9"
"","23"
"No disability",""
"Female","9547"
"Male","9156"
"","18703"
"Physical",""
"Female","51"
"Male","51"
"","102"
"Speech problem",""
"Female","17"
"Male","19"
"","36"
