"Population by Educational Attainment","Number"
"Beginners",""
"Female","108"
"Male","137"
"","245"
"Graduate and Equivalent",""
"Female","21"
"Male","117"
"","138"
"Intermediate and Equivalent",""
"Female","107"
"Male","313"
"","420"
"Level not Stated",""
"Female","16"
"Male","14"
"","30"
"Lower Secondary (Class 6-8)",""
"Female","553"
"Male","976"
"","1529"
"Non Formal Education",""
"Female","11"
"Male","41"
"","52"
"Others",""
"Female","3"
"Male","3"
"","6"
"Post Graduate Equivalent and Above",""
"Female","4"
"Male","25"
"","29"
"Primary Education (1-5 Class)",""
"Female","1619"
"Male","2146"
"","3765"
"Secondary Level (Class 9-10)",""
"Female","224"
"Male","520"
"","744"
"SLC and Equivalent",""
"Female","214"
"Male","484"
"","698"
