"Population by Educational Attainment","Number"
"Beginners",""
"Female","401"
"Male","487"
"","888"
"Graduate and Equivalent",""
"Female","14"
"Male","94"
"","108"
"Intermediate and Equivalent",""
"Female","139"
"Male","297"
"","436"
"Level not Stated",""
"Female","28"
"Male","23"
"","51"
"Lower Secondary (Class 6-8)",""
"Female","2033"
"Male","2689"
"","4722"
"Non Formal Education",""
"Female","25"
"Male","34"
"","59"
"Others",""
"Female","1"
"Male","1"
"","2"
"Post Graduate Equivalent and Above",""
"Female","1"
"Male","20"
"","21"
"Primary Education (1-5 Class)",""
"Female","4410"
"Male","5618"
"","10028"
"Secondary Level (Class 9-10)",""
"Female","806"
"Male","1426"
"","2232"
"SLC and Equivalent",""
"Female","641"
"Male","1119"
"","1760"
