"Population by Single Year of Age","Number"
"0",""
"Female","157"
"Male","134"
"1",""
"Female","132"
"Male","134"
"10",""
"Female","226"
"Male","224"
"11",""
"Female","199"
"Male","204"
"12",""
"Female","257"
"Male","269"
"13",""
"Female","239"
"Male","246"
"14",""
"Female","231"
"Male","214"
"15",""
"Female","213"
"Male","215"
"16",""
"Female","234"
"Male","196"
"17",""
"Female","239"
"Male","203"
"18",""
"Female","233"
"Male","180"
"19",""
"Female","182"
"Male","131"
"2",""
"Female","124"
"Male","127"
"20",""
"Female","183"
"Male","146"
"21",""
"Female","123"
"Male","94"
"22",""
"Female","201"
"Male","103"
"23",""
"Female","134"
"Male","84"
"24",""
"Female","129"
"Male","81"
"25",""
"Female","145"
"Male","83"
"26",""
"Female","100"
"Male","60"
"27",""
"Female","130"
"Male","85"
"28",""
"Female","126"
"Male","82"
"29",""
"Female","95"
"Male","60"
"3",""
"Female","133"
"Male","148"
"30",""
"Female","143"
"Male","63"
"31",""
"Female","78"
"Male","55"
"32",""
"Female","90"
"Male","56"
"33",""
"Female","89"
"Male","70"
"34",""
"Female","93"
"Male","59"
"35",""
"Female","111"
"Male","73"
"36",""
"Female","103"
"Male","65"
"37",""
"Female","86"
"Male","60"
"38",""
"Female","77"
"Male","46"
"39",""
"Female","92"
"Male","66"
"4",""
"Female","154"
"Male","162"
"40",""
"Female","140"
"Male","90"
"41",""
"Female","72"
"Male","57"
"42",""
"Female","97"
"Male","75"
"43",""
"Female","116"
"Male","79"
"44",""
"Female","83"
"Male","60"
"45",""
"Female","89"
"Male","88"
"46",""
"Female","96"
"Male","79"
"47",""
"Female","67"
"Male","89"
"48",""
"Female","107"
"Male","71"
"49",""
"Female","81"
"Male","65"
"5",""
"Female","182"
"Male","164"
"50",""
"Female","117"
"Male","97"
"51",""
"Female","69"
"Male","72"
"52",""
"Female","70"
"Male","72"
"53",""
"Female","52"
"Male","47"
"54",""
"Female","72"
"Male","58"
"55",""
"Female","67"
"Male","62"
"56",""
"Female","56"
"Male","58"
"57",""
"Female","55"
"Male","53"
"58",""
"Female","47"
"Male","51"
"59",""
"Female","57"
"Male","43"
"6",""
"Female","172"
"Male","175"
"60",""
"Female","72"
"Male","63"
"61",""
"Female","43"
"Male","50"
"62",""
"Female","53"
"Male","37"
"63",""
"Female","59"
"Male","42"
"64",""
"Female","62"
"Male","51"
"65",""
"Female","56"
"Male","56"
"66",""
"Female","40"
"Male","30"
"67",""
"Female","39"
"Male","34"
"68",""
"Female","39"
"Male","43"
"69",""
"Female","25"
"Male","41"
"7",""
"Female","236"
"Male","211"
"70",""
"Female","53"
"Male","43"
"71",""
"Female","28"
"Male","26"
"72",""
"Female","38"
"Male","33"
"73",""
"Female","20"
"Male","32"
"74",""
"Female","20"
"Male","26"
"75",""
"Female","21"
"Male","32"
"76",""
"Female","18"
"Male","23"
"77",""
"Female","16"
"Male","26"
"78",""
"Female","31"
"Male","31"
"79",""
"Female","11"
"Male","11"
"8",""
"Female","184"
"Male","165"
"80",""
"Female","16"
"Male","19"
"81",""
"Female","16"
"Male","18"
"82",""
"Female","12"
"Male","4"
"83",""
"Female","11"
"Male","10"
"84",""
"Female","12"
"Male","5"
"85",""
"Female","42"
"Male","47"
"9",""
"Female","199"
"Male","210"
